PITCHER,PITCHER_ID
Pierce Johnson,572955
Ty Blach,621389
Kenley Jansen,445276
German Marquez,608566
Luis Perdomo,606131
Luis Severino,622663
Aroldis Chapman,547973
Lance McCullers,621121
Tony Sipp,448609
Brad Hand,543272
Tony Cingrani,571561
Odrisamer Despaigne,628333
Caleb Smith,592761
Hansel Robles,570663
Paul Sewald,623149
Jacob Degrom,594798
Jacob Rhame,642008
Adam Wainwright,425794
Junior Guerra,448855
Jeurys Familia,544727
Kyle Barraclough,607457
Chase Anderson,502624
Jack Flaherty,656427
Ryan Sherriff,595411
Jacob Barnes,606930
Dan Jennings,543359
Greg Holland,518813
Johnny Cueto,456501
Felix Hernandez,433587
Wade LeBlanc,453281
James Pazos,572021
Tyler Lyons,544928
Stephen Strasburg,544931
Seth Lugo,607625
Austin Brice,592169
Clay Holmes,605280
Luis Castillo,622491
Yovani Gallardo,451596
Josh Smoker,519294
Chris Archer,502042
Lance Lynn,458681
Edgar Santana,650828
Matt Bush,456713
CC Sabathia,282332
Hector Rondon,444468
Tony Barnette,501817
Keone Kela,605309
Noah Syndergaard,592789
Jose Urena,570632
Pedro Araujo,606478
Chasen Shreve,592741
Jonathan Holder,656547
Joe Smith,501925
Mike Wright,605541
Justin Verlander,434378
Luis Garcia,472610
Nick Pivetta,601713
Hector Neris,593576
Brandon Morrow,453344
Adrian Houser,605288
Taylor Williams,592865
Adam Morgan,605388
Jose Quintana,500779
Dellin Betances,476454
Drew Hutchison,571800
Robert Gsellman,607229
Aaron Nola,605400
Edubray Ramos,591693
James Hoyt,624586
Jordan Montgomery,656756
Francisco Liriano,434538
Blaine Boyer,430641
Chris Sale,519242
Dylan Bundy,605164
Mike Foltynewicz,592314
Kelvin Herrera,516969
Matt Barnes,598264
Matt Harvey,518774
Sean Newcomb,656794
Burch Smith,572143
Parker Bridwell,592170
Daniel Gossett,605254
Blake Treinen,595014
Clayton Richard,453385
Steven Brault,643230
Homer Bailey,456701
Kevin Quackenbush,534812
Amir Garrett,607237
Derek Holland,502706
Matthew Boyd,571510
Jesse Chavez,445926
Martin Perez,527048
Eduardo Paredes,622161
Roberto Gomez,596816
Sam Dyson,473879
Zach Davies,605200
Steven Matz,571927
Miles Mikolas,571945
Oliver Drake,543118
Rich Hill,448179
Andrew Triggs,592811
Matt Moore,519043
Jaime Barria,642545
Eddie Butler,572750
Akeel Morris,592570
Luke Jackson,592426
Andrew Suarez,605498
Robbie Ray,592662
Jon Lester,452657
Kenta Maeda,628317
Eric Skoglund,607215
Tyler Anderson,542881
Joey Lucchesi,664192
Kazuhisa Makita,628318
Luke Weaver,596133
Mike Mayers,594577
John Brebbia,605154
Brandon Finnegan,605232
Dylan Floro,571670
Sean Manaea,640455
Chris Hatcher,501822
Brent Suter,608718
Corey Knebel,608349
Hernan Perez,541650
Carlos Martinez,593372
Yu Darvish,506433
J.J. Hoover,543331
Gio Gonzalez,461829
Tyler Kinley,641755
Doug Fister,450729
David Price,456034
Peter Moylan,493247
Sal Romano,607219
Ian Kennedy,453178
Jake Arrieta,453562
Victor Arano,644364
Julio Teheran,527054
Hoby Milner,571948
Kyle Crick,605195
Chad Bell,518445
Cody Reed,642003
Jhoulys Chacin,468504
Sam Tuivailala,592815
Michael Fulmer,605242
Cliff Pennington,460060
Tanner Rainey,663432
Zack Weiss,592848
Enny Romero,544836
Nick Tropeano,607374
Dallas Keuchel,572971
Tanner Scott,656945
Ben Lively,594902
Yacksel Rios,605441
